НПЗ,Контролер поставки,Базис Поставки,АИ-92,АИ-95,ДТ-Л-К5,ДТ-Е,ДТ-З,ДТ-А,ТС 1 / РТ,СУГ,ТПБ,Мазут
Омский НПЗ,"ПАО ""Газпром нефть""",ст. Комбинатская,A592KOB060F,A953KOB060F,DSC5KOB065F,DE5FKOB065F,DT32KOB065F,,JET-KOB065F,PCUGKOB036F,,TKM7KOB065F
Нижнекамский НПЗ,ОАО «ТАНЕКО»,Предкомбинатская - группа станций,A926PDK065F,A956PDK065F,DSC5PDK065F,DE5EPDK065F,DW25PDK065F,DTZ4PDK065F,JET-PDK065F,,,
НК ТАИФ-НК,ОАО «ТАИФ-НК»,"Биклянь, Приволжская ж.д.",A592BIN065F,A595BIN065F,,DE5EBIN065F,DW25BIN065F,,RKT-BIN065F,,,
Пермнефтеоргсинтез,"ПАО ""Лукойл""",ст. Осенцы,A592OSN060F,A595OSN060F,DSC5OSN065F,DE5EOSN065F,,,,PCPBOSN038F,,
Газпром нефтехим Салават,"ПАО ""Газпром""",ст. Аллагуват,A592ALL060F,A595ALL060F,DSC5ALL065F,,DW25ALL065F,DA54ALL065F,,,,M60AALL065F
Газпром нефтехим Салават,"ПАО ""Газпром""",Автоналив,A592GAP010A,,DSC5GAP010A,,DW25GAP010A,,,,,
Орский НОС,"АО ""Фортеинвест""",ст. Никель,A592NIL065F,A595NIL065F,DSC5NIL065F,DE5ENIL065F,,,RKT-NIL065F,,,
Уфимский НПЗ,"ПАО АНК ""Башнефть""",Уфа - группа станций,A592UFM060F,A595UFM060F,DSC5UFM065F,DE5EUFM065F,DW25UFM065F,,RKT-UFM065F,,,M70AUFM065F
Сургутский ЗСК,"ООО ""Газпром ГНП Холдинг""",ст. Сургут,A592SUR060F,A595SUR060F,,,,DT54SUR060F,JET-SUR060F,PPBASUR036F,,
Сургутский ЗСК,"ООО ""Газпром ГНП Холдинг""",Сургут Автоналив,A592URT005A,A595URT005A,,,,DT54URT005A,,,,
Сургутский ЗСК,"ООО ""Газпром ГНП Холдинг""",Новый Уренгой Автоналив,A592NYU005A,A595NYU005A,DT54NYU005A,,,,,,,
СургутНефтегаз,ПАО СургутНефтегаз,Автоналив,,,,,,,,PCUUUPG150A,TPBUUPG200A,
Нижневартовский НПО,"АО ""НК ""Роснефть""",ст.Нижневартовск II,,,,,,,JET1NIH065F,,,
Стрежевской НПЗ,"АО ""НК ""Роснефть""",Автоналив,A592SZE005A,A595SZE005A,,,,,,,,
СИБУР Тобольск,"ПАО ""СИБУР Холдинг""",ст.Тобольск,,,,,,,,PCPCTOB036F,,
Пурнефтепереработка,"АО ""НК ""Роснефть""",ст. Пурпе,A592PUP060F,,,,,,,,,
,"АО ""НК ""Роснефть""",ст. Коротчаево,,,,,,,,PCPCKTH034F,,
Антипинский НПЗ,ООО «Русинвест»,Автоналив,A592ANU025A,A595ANU025A,DSC5ANU025A,DE5EANU025A,DE35ANU025A,,,PCAZANU020A,,
Антипинский НПЗ,ООО «Русинвест»,ст. Войновка,A592VON060F,A595VON060F,DSC5VON065F,DE5EVON065F,DW25VON065F,DA54VON065F,,,,
Новокуйбышевский НПЗ,"АО ""НК ""Роснефть""",Самара - группа станций,A592SAU060F,A595SAU060F,DSC5SAU065F,DE5ESAU065F,DW25SAU065F,DA54VON065F,RKT-SAU065F,PCPBSAU035F,,M70ASAU065F
Нижегороднефтеоргсинтез,"ПАО ""Лукойл""",ст. Зелецино,A592ZEL060F,A595ZEL060F,DSC5ZEL065F,DE5EZEL065F,,,,PCUUZEL036F,,MA11ZEL065F